uat_id,filename,chars,estimated_tokens,synthetic_valid,budget_valid,findings
UAT-01,uat-01_s0-qf-uat-01-ntlm-lateral.json,2670,668,True,True,
UAT-02,uat-02_s0-qf-uat-02-observation-expiry.json,2722,681,True,True,
UAT-03,uat-03_s0-qf-uat-03-terminal-lock.json,2608,652,True,True,
UAT-04,uat-04_s0-qf-uat-04-ransomware-staging.json,2622,656,True,True,
UAT-05,uat-05_s0-qf-uat-05-kerberoasting-spn.json,2609,653,True,True,
UAT-06,uat-06_s0-qf-uat-06-mfa-fatigue.json,2629,658,True,True,
UAT-07,uat-07_s0-qf-uat-07-oauth-consent.json,2596,649,True,True,
UAT-08,uat-08_s0-qf-uat-08-cloud-key.json,2612,653,True,True,
UAT-09,uat-09_s0-qf-uat-09-dns-tunneling.json,2626,657,True,True,
UAT-10,uat-10_s0-qf-uat-10-c2-low-slow.json,2651,663,True,True,
UAT-11,uat-11_s0-qf-uat-11-lotl-wmi-psexec.json,2613,654,True,True,
UAT-12,uat-12_s0-qf-uat-12-vpn-geo.json,2598,650,True,True,
UAT-13,uat-13_s0-qf-uat-13-insider-download.json,2651,663,True,True,
UAT-14,uat-14_s0-qf-uat-14-cmdb-unavailable.json,2597,650,True,True,
UAT-15,uat-15_s0-qf-uat-15-audit-empty.json,2551,638,True,True,
UAT-16,uat-16_s0-qf-uat-16-audit-unavailable.json,2620,655,True,True,
UAT-17,uat-17_s0-qf-uat-17-history-downgrade.json,2655,664,True,True,
UAT-18,uat-18_s0-qf-uat-18-history-upgrade-prohibited.json,2638,660,True,True,
UAT-19,uat-19_s0-qf-uat-19-p3-summary-no-raw.json,2635,659,True,True,
UAT-20,uat-20_s0-qf-uat-20-prompt-injection.json,2696,674,True,True,
